datadate,IYW,IYJ,IBB,IGV,IXP,IYT,VNQ,PBS,PBJ,KCE,KIE,KBE,XSD,ITB,ITA,IHI,IHF,IHE,IEZ,FDN
2007-01-03,54.67,65.36,77.64,44.62,63.7,83.46,77.12,16.23,16.429,67.6344,57.08,58.63,49.06,41.18,53.48,50.78,53.78,53.3484,43.2,22.2998
2007-01-04,55.57,65.39,78.84,45.4,64.16,83.8599,77.22,16.33,16.45,67.65,57.12,58.61,50.11,40.79,53.42,50.94,53.75,53.9,42.0644,23.22
2007-01-05,55.12,64.94,78.85,44.99,63.16,82.61,75.79,16.2,16.35,67.49,56.66,58.02,49.25,40.38,53.17,50.75,53.35,53.6,42.06,22.99
2007-01-08,55.32,65.15,78.96,45.2,63.75,82.89,75.9,16.2,16.34,68.6,56.69,58.17,49.32,39.54,53.76,51.25,53.72,53.62,42.0899,22.97
2007-01-09,55.65,65.19,78.91,45.2,63.72,83.1,76.86,16.23,16.35,68.91,56.48,58.05,49.56,39.61,53.71,51.58,53.08,53.87,41.83,22.98
2007-01-10,56.15,65.29,79.25,45.36,63.01,83.29,77.85,16.25,16.48,69.99,56.55,58.13,50.45,39.63,54.12,51.72,53.26,53.85,41.2,23.12
2007-01-11,56.65,65.92,80.15,45.63,63.66,84.17,78.86,16.4,16.66,70.93,56.82,58.1901,50.72,40.18,54.51,52.3401,54.23,54.06,40.83,23.42
2007-01-12,56.88,66.16,81.34,45.85,63.97,85.38,79.11,16.49,16.6396,71.45,57.01,58.22,51.19,40.44,54.49,52.59,54.5,54.48,41.97,23.56
2007-01-16,56.66,66.43,81.3,44.93,63.83,87.19,80.24,16.58,16.6073,71.23,56.97,58.2,50.61,40.29,54.66,52.5901,54.86,54.33,41.5924,23.74
2007-01-17,55.98,66.4546,81.52,45.03,63.78,86.28,80.2,16.5,16.57,71.45,56.72,58.13,50.02,40.98,54.68,52.95,55.0471,54.8,42.122,23.52
2007-01-18,54.69,66.1,80.75,44.12,63.89,86.27,80.1,16.53,16.6288,70.43,56.76,58.28,48.57,41.0,54.11,52.75,54.219,55.26,41.5532,23.06
2007-01-19,54.89,66.08,81.08,44.28,64.33,87.12,80.9,16.49,16.64,70.48,56.78,58.35,48.96,41.58,54.43,52.86,54.44,55.35,42.91,23.11
2007-01-22,54.36,65.36,80.74,43.84,64.25,86.15,80.22,16.42,16.64,70.2396,56.46,58.3,48.2,41.3,53.61,52.59,53.92,55.07,42.92,22.8
2007-01-23,54.37,66.05,80.25,44.05,64.5252,86.47,80.6,16.54,16.65,70.28,56.65,58.36,48.57,41.96,54.91,52.48,53.96,55.17,44.16,22.75
2007-01-24,55.28,66.25,80.91,44.82,65.39,86.32,81.65,16.66,16.69,71.78,56.93,58.54,49.52,42.46,55.11,52.88,53.92,55.61,44.37,23.47
2007-01-25,54.71,65.56,79.55,44.17,64.66,85.24,82.15,16.41,16.58,69.91,56.31,58.18,49.08,41.03,54.43,52.62,53.89,55.18,43.36,23.3
2007-01-26,54.75,65.36,79.28,44.52,64.39,84.4,82.42,16.47,16.54,70.11,56.29,58.26,49.9,40.57,54.22,52.71,53.74,55.29,43.24,23.29
2007-01-29,54.88,65.57,79.55,44.54,64.08,85.5,82.69,16.55,16.59,69.1,56.42,58.01,49.14,40.71,54.34,53.25,53.99,55.38,42.94,23.38
2007-01-30,55.12,65.68,79.92,44.7,64.51,85.8,83.1,16.67,16.7,69.429,56.86,58.19,49.26,40.73,54.64,53.76,54.51,55.42,44.16,23.49
2007-01-31,55.33,66.64,79.84,44.93,64.85,88.12,83.76,16.66,16.69,70.11,56.74,58.55,49.2,42.66,55.44,54.07,54.87,55.6,44.49,23.69
2007-02-01,55.27,67.3356,80.79,45.39,65.13,89.6388,84.09,16.66,16.8,71.0,57.37,59.0,49.47,43.05,56.14,54.13,55.3,55.94,44.51,23.77
2007-02-02,55.33,67.49,80.25,45.65,65.1,89.76,84.24,16.68,16.7754,71.09,57.58,59.1101,49.9,44.46,56.22,54.47,55.27,55.78,45.05,23.85
2007-02-05,55.43,67.39,79.7,45.48,65.02,89.03,84.24,16.57,16.72,71.24,57.59,59.1,50.34,43.81,56.43,54.44,55.66,55.67,45.09,23.8
2007-02-06,55.26,67.49,79.65,45.31,65.4,88.9,85.48,16.55,16.71,71.68,58.03,59.4,50.0095,43.82,56.767,54.23,55.59,55.5201,45.22,23.83
